Press Association ID Number,Constituency Name,Region,CODE,Electorate 15,Votes_15,Conservative_15,Green_15,Labour_15,Lib Dems_15,Other_15,Plaid_15,SNP_15,UKIP_15,Winner 15,Second Place 15,Third Place 15,Fourth Place 15,Turnout 15,Conservative Vote Share 15,Green Vote Share 15,Labour Vote Share 15,Lib Dems Vote Share 15,Other Vote Share 15,Plaid Vote Share 15,SNP Vote Share 15,UKIP Vote Share 15,Conservative Vote Share Change 15,Green Vote Share Change 15,Labour Vote Share Change 15,Lib Dems Vote Share Change 15,Other Vote Share Change 15,Plaid Vote Share Change 15,SNP Vote Share Change 15,UKIP Vote Share Change 15
33,Basildon South & Thurrock East,East,E14000933,71155,45593,19788,,11493,1356,859,,,12097,Conservative,UKIP,Labour,Lib Dems,64.1,43.4,0.0,25.2,3.0,1.9,0.0,0.0,26.5,-0.5,0.0,-5.8,-10.4,-4.0,0.0,0.0,+20.6
34,Basingstoke,South East,E14000545,79665,53076,25769,,14706,3919,392,,,8290,Conservative,Labour,UKIP,Lib Dems,66.6,48.6,0.0,27.7,7.4,0.7,0.0,0.0,15.6,-2.0,0.0,+7.3,-17.1,+0.3,0.0,0.0,+11.5
35,Bassetlaw,East Midlands,E14000546,76796,49289,15122,1006,23965,1331,0,,,7865,Labour,Conservative,UKIP,Lib Dems,64.2,30.7,2.0,48.6,2.7,0.0,0.0,0.0,16.0,-3.2,+2.0,-1.8,-8.5,-0.8,0.0,0.0,+12.4
36,Bath,South West,E14000547,63084,47167,17833,5634,6216,14000,562,,,2922,Conservative,Lib Dems,Labour,Green,74.8,37.8,11.9,13.2,29.7,1.2,0.0,0.0,6.2,+6.4,+9.6,+6.3,-26.9,+0.3,0.0,0.0,+4.3
37,Batley & Spen,Yorkshire and The Humber,E14000548,78373,50479,15769,1232,21826,2396,176,,,9080,Labour,Conservative,UKIP,Lib Dems,64.4,31.2,2.4,43.2,4.7,0.3,0.0,0.0,18.0,-2.3,+1.3,+1.0,-11.1,-6.9,0.0,0.0,+18.0
38,Battersea,London,E14000549,76111,51031,26730,1682,18792,2241,0,,,1586,Conservative,Labour,Lib Dems,Green,67.0,52.4,3.3,36.8,4.4,0.0,0.0,0.0,3.1,+5.0,+2.2,+1.7,-10.3,-0.7,0.0,0.0,+2.1
39,Beaconsfield,South East,E14000550,74726,53163,33621,2231,6074,3927,0,,,7310,Conservative,UKIP,Labour,Lib Dems,71.1,63.2,4.2,11.4,7.4,0.0,0.0,0.0,13.8,+2.2,+2.7,-0.3,-12.2,-1.3,0.0,0.0,+8.8
40,Beckenham,London,E14000551,67439,48803,27955,1878,9484,3378,0,,,6108,Conservative,Labour,UKIP,Lib Dems,72.4,57.3,3.8,19.4,6.9,0.0,0.0,0.0,12.5,-0.6,+2.6,+5.0,-13.7,-2.6,0.0,0.0,+9.3
41,Bedford,East,E14000552,69311,46086,19625,1412,18528,1958,129,,,4434,Conservative,Labour,UKIP,Lib Dems,66.5,42.6,3.1,40.2,4.2,0.3,0.0,0.0,9.6,+3.7,+2.2,+4.3,-15.6,-1.7,0.0,0.0,+7.1
42,Bedfordshire Mid,East,E14000813,78501,58060,32544,2462,9217,4193,678,,,8966,Conservative,Labour,UKIP,Lib Dems,74.0,56.1,4.2,15.9,7.2,1.2,0.0,0.0,15.4,+3.6,+2.8,+1.1,-17.7,-0.1,0.0,0.0,+10.3
43,Bedfordshire North East,East,E14000841,83551,58672,34891,2537,9247,3418,0,,,8579,Conservative,Labour,UKIP,Lib Dems,70.2,59.5,4.3,15.8,5.8,0.0,0.0,0.0,14.6,+3.7,+4.3,-0.4,-15.9,-2.3,0.0,0.0,+10.5
44,Bedfordshire South West,East,E14000949,79285,51304,28212,2106,10399,2646,0,,,7941,Conservative,Labour,UKIP,Lib Dems,64.7,55.0,4.1,20.3,5.2,0.0,0.0,0.0,15.5,+2.2,+4.1,+0.7,-14.9,-3.4,0.0,0.0,+11.3
45,Belfast East,Northern Ireland,N06000001,63157,39682,1121,1058,0,,37503,,,,Other,Conservative,Green,Labour,62.8,2.8,2.7,0.0,0.0,94.5,0.0,0.0,0.0,+2.8,+2.7,0.0,0.0,-5.5,0.0,0.0,0.0
46,Belfast North,Northern Ireland,N06000002,68553,40593,,,0,,39674,,,,Other,Labour,#NUM!,#NUM!,59.2,0.0,0.0,0.0,0.0,97.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3,0.0,0.0,0.0
47,Belfast South,Northern Ireland,N06000003,64927,38957,582,2238,0,,30327,,,1900,Other,Green,UKIP,Conservative,60.0,1.5,5.7,0.0,0.0,77.8,0.0,0.0,4.9,+1.5,+2.7,0.0,0.0,-19.1,0.0,0.0,+4.9
48,Belfast West,Northern Ireland,N06000004,62697,35329,34,,0,,32845,,,765,Other,UKIP,Conservative,Labour,56.3,0.1,0.0,0.0,0.0,93.0,0.0,0.0,2.2,+0.1,0.0,0.0,0.0,-7.0,0.0,0.0,+2.2
49,Bermondsey & Old Southwark,London,E14000553,83298,51424,6051,2023,22146,17657,293,,,3254,Labour,Lib Dems,Conservative,UKIP,61.7,11.8,3.9,43.1,34.3,0.6,0.0,0.0,6.3,-5.3,+2.3,+13.8,-14.0,-3.1,0.0,0.0,+6.3
50,Berwick-Upon-Tweed,North East,E14000554,56969,40423,16603,1488,6042,11689,88,,,4513,Conservative,Lib Dems,Labour,UKIP,71.0,41.1,3.7,14.9,28.9,0.2,0.0,0.0,11.2,+4.4,+3.7,+1.8,-14.8,-2.9,0.0,0.0,+7.9
51,"Berwickshire, Roxburgh & Selkirk",Scotland,S14000008,74214,55038,19817,631,2700,10294,135,,20145,1316,SNP,Conservative,Lib Dems,Labour,74.2,36.0,1.1,4.9,18.7,0.2,0.0,36.6,2.4,+2.2,+1.1,-5.3,-26.7,-0.0,0.0,+27.4,+1.2
52,Bethnal Green & Bow,London,E14000555,82727,52924,8070,4906,32387,2395,1744,,,3219,Labour,Conservative,Green,UKIP,64.0,15.2,9.3,61.2,4.5,3.3,0.0,0.0,6.1,+1.3,+7.6,+18.3,-15.6,-18.0,0.0,0.0,+6.1
53,Beverley & Holderness,Yorkshire and The Humber,E14000556,80805,52677,25363,1802,13160,2900,0,,,8794,Conservative,Labour,UKIP,Lib Dems,65.2,48.1,3.4,25.0,5.5,0.0,0.0,0.0,16.7,+1.0,+2.1,+3.9,-17.2,-4.3,0.0,0.0,+13.2
54,Bexhill & Battle,South East,E14000557,78796,55218,30245,2807,7797,4199,0,,,10170,Conservative,UKIP,Labour,Lib Dems,70.1,54.8,5.1,14.1,7.6,0.0,0.0,0.0,18.4,+3.2,+5.1,+2.2,-20.4,-8.5,0.0,0.0,+18.4
55,Bexleyheath & Crayford,London,E14000558,64828,43685,20643,950,11451,1308,151,,,9182,Conservative,Labour,UKIP,Lib Dems,67.4,47.3,2.2,26.2,3.0,0.3,0.0,0.0,21.0,-3.2,+1.3,-0.3,-9.7,-5.5,0.0,0.0,+17.4
56,Birkenhead,North West,E14000559,62410,39144,5816,1626,26468,1396,0,,,3838,Labour,Conservative,UKIP,Green,62.7,14.9,4.2,67.6,3.6,0.0,0.0,0.0,9.8,-4.1,+4.2,+5.1,-15.0,0.0,0.0,0.0,+9.8
57,Birmingham Edgbaston,West Midlands,E14000560,65591,41293,15812,1371,18518,1184,254,,,4154,Labour,Conservative,UKIP,Green,63.0,38.3,3.3,44.8,2.9,0.6,0.0,0.0,10.1,+0.7,+2.2,+4.2,-12.5,-2.9,0.0,0.0,+8.3
58,Birmingham Erdington,West Midlands,E14000561,65128,34684,10695,948,15824,965,212,,,6040,Labour,Conservative,UKIP,Lib Dems,53.3,30.8,2.7,45.6,2.8,0.6,0.0,0.0,17.4,-1.8,+2.7,+3.8,-13.4,-6.4,0.0,0.0,+15.0
59,Birmingham Hall Green,West Midlands,E14000562,76330,47046,8329,2200,28147,5459,780,,,2131,Labour,Conservative,Lib Dems,Green,61.6,17.7,4.7,59.8,11.6,1.7,0.0,0.0,4.5,+2.7,+4.7,+26.9,-13.0,-23.9,0.0,0.0,+2.6
60,Birmingham Hodge Hill,West Midlands,E14000563,75302,41039,4707,835,28069,2624,153,,,4651,Labour,Conservative,UKIP,Lib Dems,54.5,11.5,2.0,68.4,6.4,0.4,0.0,0.0,11.3,-0.2,+2.0,+16.4,-21.3,-6.6,0.0,0.0,+9.7
61,Birmingham Ladywood,West Midlands,E14000564,68128,35916,4576,1501,26444,1374,216,,,1805,Labour,Conservative,UKIP,Green,52.7,12.7,4.2,73.6,3.8,0.6,0.0,0.0,5.0,+0.8,+1.8,+18.0,-23.6,+0.6,0.0,0.0,+2.5
62,Birmingham Northfield,West Midlands,E14000565,71428,42461,15164,1169,17673,1349,0,,,7106,Labour,Conservative,UKIP,Lib Dems,59.4,35.7,2.8,41.6,3.2,0.0,0.0,0.0,16.7,+2.1,+1.8,+1.3,-12.5,-6.2,0.0,0.0,+13.5
63,Birmingham Perry Barr,West Midlands,E14000566,69943,41260,8869,1330,23697,2001,331,,,5032,Labour,Conservative,UKIP,Lib Dems,59.0,21.5,3.2,57.4,4.8,0.8,0.0,0.0,12.2,+0.2,+3.2,+7.1,-17.1,-1.7,0.0,0.0,+8.2
64,Birmingham Selly Oak,West Midlands,E14000567,75092,45294,13137,2301,21584,2517,0,,,5755,Labour,Conservative,UKIP,Lib Dems,60.3,29.0,5.1,47.7,5.6,0.0,0.0,0.0,12.7,-2.1,+3.7,+9.1,-16.7,-4.3,0.0,0.0,+10.3
65,Birmingham Yardley,West Midlands,E14000568,72146,41151,5760,698,17129,10534,393,,,6637,Labour,Lib Dems,UKIP,Conservative,57.0,14.0,1.7,41.6,25.6,1.0,0.0,0.0,16.1,-5.2,+1.7,+9.4,-14.0,-5.2,0.0,0.0,+13.2
66,Bishop Auckland,North East,E14000569,66070,39389,12799,1545,16307,1723,0,,,7015,Labour,Conservative,UKIP,Lib Dems,59.6,32.5,3.9,41.4,4.4,0.0,0.0,0.0,17.8,+6.2,+3.9,+2.4,-18.0,-9.7,0.0,0.0,+15.1
67,Blackburn,North West,E14000570,73260,43999,12002,,24762,955,0,,,6280,Labour,Conservative,UKIP,Lib Dems,60.1,27.3,0.0,56.3,2.2,0.0,0.0,0.0,14.3,+1.1,0.0,+8.5,-13.0,-8.8,0.0,0.0,+12.2
68,Blackley & Broughton,North West,E14000571,71913,37112,5581,1567,22982,874,0,,,6108,Labour,UKIP,Conservative,Green,51.6,15.0,4.2,61.9,2.4,0.0,0.0,0.0,16.5,-3.3,+4.2,+7.7,-11.9,-10.6,0.0,0.0,+13.8
69,Blackpool North & Cleveleys,North West,E14000572,62468,39393,17508,889,14168,948,57,,,5823,Conservative,Labour,UKIP,Lib Dems,63.1,44.4,2.3,36.0,2.4,0.1,0.0,0.0,14.8,+2.7,+2.3,-0.5,-10.9,-4.2,0.0,0.0,+10.7
70,Blackpool South,North West,E14000573,57411,32436,10963,841,13548,743,728,,,5613,Labour,Conservative,UKIP,Green,56.5,33.8,2.6,41.8,2.3,2.2,0.0,0.0,17.3,-2.0,+2.6,+0.7,-12.2,-2.6,0.0,0.0,+13.5
71,Blaenau Gwent,Wales,W07000072,51335,31683,3419,738,18380,620,0,2849,,5677,Labour,UKIP,Conservative,Plaid,61.7,10.8,2.3,58.0,2.0,0.0,9.0,0.0,17.9,+3.8,+2.3,+5.6,-8.2,-24.8,+4.9,0.0,+16.4
72,Blaydon,North East,E14000574,67901,44936,7838,1648,22090,5497,0,,,7863,Labour,UKIP,Conservative,Lib Dems,66.2,17.4,3.7,49.2,12.2,0.0,0.0,0.0,17.5,+1.5,+3.7,-0.5,-17.1,-5.1,0.0,0.0,+17.5
73,Blyth Valley,North East,E14000575,61247,38461,8346,1453,17813,2265,0,,,8584,Labour,UKIP,Conservative,Lib Dems,62.8,21.7,3.8,46.3,5.9,0.0,0.0,0.0,22.3,+5.1,+3.8,+1.8,-21.3,-7.4,0.0,0.0,+18.0
74,Bognor Regis & Littlehampton,South East,E14000576,72995,47116,24185,1942,6508,4240,0,,,10241,Conservative,UKIP,Labour,Lib Dems,64.5,51.3,4.1,13.8,9.0,0.0,0.0,0.0,21.7,-0.1,+4.1,-0.2,-14.5,-4.5,0.0,0.0,+15.3
75,Bolsover,East Midlands,E14000577,71979,43998,10764,,22542,1464,0,,,9228,Labour,Conservative,UKIP,Lib Dems,61.1,24.5,0.0,51.2,3.3,0.0,0.0,0.0,21.0,-0.1,0.0,+1.2,-12.2,-6.0,0.0,0.0,+17.1
76,Bolton North East,North West,E14000578,67895,43161,14164,1103,18541,1236,0,,,8117,Labour,Conservative,UKIP,Lib Dems,63.6,32.8,2.6,43.0,2.9,0.0,0.0,0.0,18.8,-3.7,+2.6,-3.0,-10.1,-0.4,0.0,0.0,+14.6
77,Bolton South East,North West,E14000579,69687,40743,8289,1200,20555,1072,0,,,9627,Labour,UKIP,Conservative,Green,58.5,20.3,2.9,50.5,2.6,0.0,0.0,0.0,23.6,-5.3,+1.4,+3.0,-13.2,-5.6,0.0,0.0,+19.7
78,Bolton West,North West,E14000580,72719,48592,19744,,18943,1947,530,,,7428,Conservative,Labour,UKIP,Lib Dems,66.8,40.6,0.0,39.0,4.0,1.1,0.0,0.0,15.3,+2.3,-1.1,+0.5,-13.2,+0.3,0.0,0.0,+11.3
79,Bootle,North West,E14000581,70145,45152,3639,1501,33619,978,500,,,4915,Labour,UKIP,Conservative,Green,64.4,8.1,3.3,74.5,2.2,1.1,0.0,0.0,10.9,-0.9,+3.3,+8.0,-13.0,-2.3,0.0,0.0,+4.8
80,Boston & Skegness,East Midlands,E14000582,67064,43339,18981,800,7142,1015,756,,,14645,Conservative,UKIP,Labour,Lib Dems,64.6,43.8,1.8,16.5,2.3,1.7,0.0,0.0,33.8,-5.7,+1.8,-4.2,-12.4,-3.9,0.0,0.0,+24.3
81,Bosworth,East Midlands,E14000583,79738,53582,22939,,9354,11951,0,,,9338,Conservative,Lib Dems,Labour,UKIP,67.2,42.8,0.0,17.5,22.3,0.0,0.0,0.0,17.4,+0.2,0.0,+1.5,-11.0,-6.0,0.0,0.0,+15.4
82,Bournemouth East,South West,E14000584,72275,44827,22060,3263,7448,3752,903,,,7401,Conservative,Labour,UKIP,Lib Dems,62.0,49.2,7.3,16.6,8.4,2.0,0.0,0.0,16.5,+0.8,+7.3,+3.4,-22.5,+1.4,0.0,0.0,+9.6
83,Bournemouth West,South West,E14000585,72082,41773,20155,3107,7386,3281,99,,,7745,Conservative,UKIP,Labour,Lib Dems,58.0,48.2,7.4,17.7,7.9,0.2,0.0,0.0,18.5,+3.1,+7.4,+2.9,-23.9,-0.9,0.0,0.0,+11.3
84,Bracknell,South East,E14000586,81271,53086,29606,2202,8956,3983,0,,,8339,Conservative,Labour,UKIP,Lib Dems,65.3,55.8,4.1,16.9,7.5,0.0,0.0,0.0,15.7,+3.4,+2.6,+0.1,-14.8,-2.5,0.0,0.0,+11.3
85,Bradford East,Yorkshire and The Humber,E14000587,66121,41406,4682,871,19312,12228,210,,,4103,Labour,Lib Dems,Conservative,UKIP,62.6,11.3,2.1,46.6,29.5,0.5,0.0,0.0,9.9,-15.5,+2.1,+13.8,-4.2,-6.1,0.0,0.0,+9.9
86,Bradford South,Yorkshire and The Humber,E14000588,63674,37600,9878,1243,16328,1094,0,,,9057,Labour,Conservative,UKIP,Green,59.1,26.3,3.3,43.4,2.9,0.0,0.0,0.0,24.1,-2.8,+3.3,+2.2,-15.4,-7.8,0.0,0.0,+20.6
87,Bradford West,Yorkshire and The Humber,E14000589,63372,40290,6160,1085,19977,1173,8755,,,3140,Labour,Other,Conservative,UKIP,63.6,15.3,2.7,49.6,2.9,21.7,0.0,0.0,7.8,-15.9,+0.4,+4.2,-8.8,+14.2,0.0,0.0,+5.8
88,Braintree,East,E14000590,73557,50283,27071,1564,9296,2488,403,,,9461,Conservative,UKIP,Labour,Lib Dems,68.4,53.8,3.1,18.5,4.9,0.8,0.0,0.0,18.8,+1.2,+1.7,-1.4,-13.8,-1.4,0.0,0.0,+13.8
89,Brecon & Radnorshire,Wales,W07000068,54441,40074,16453,1261,5904,11351,0,1767,,3338,Conservative,Lib Dems,Labour,UKIP,73.6,41.1,3.1,14.7,28.3,0.0,4.4,0.0,8.3,+4.5,+2.3,+4.2,-17.8,-1.1,+1.9,0.0,+6.1
90,Brent Central,London,E14000591,77038,47032,9567,1912,29216,3937,550,,,1850,Labour,Conservative,Lib Dems,Green,61.1,20.3,4.1,62.1,8.4,1.2,0.0,0.0,3.9,+9.2,+2.6,+20.9,-35.8,-0.8,0.0,0.0,+3.9
91,Brent North,London,E14000592,82196,52235,17517,1539,28351,2607,197,,,2024,Labour,Conservative,Lib Dems,UKIP,63.5,33.5,2.9,54.3,5.0,0.4,0.0,0.0,3.9,+2.0,+1.6,+7.4,-12.0,-2.1,0.0,0.0,+3.1
92,Brentford & Isleworth,London,E14000593,84602,57355,24631,2120,25096,2305,0,,,3203,Labour,Conservative,UKIP,Lib Dems,67.8,42.9,3.7,43.8,4.0,0.0,0.0,0.0,5.6,+5.7,+2.2,+10.2,-19.6,-2.4,0.0,0.0,+4.0
93,Brentwood & Ongar,East,E14000594,71918,51897,30534,1397,6492,4577,173,,,8724,Conservative,UKIP,Labour,Lib Dems,72.2,58.8,2.7,12.5,8.8,0.3,0.0,0.0,16.8,+1.9,+1.5,+2.6,-14.6,-4.2,0.0,0.0,+12.8
94,Bridgend,Wales,W07000073,59998,39453,12697,736,14624,1648,1053,2784,,5911,Labour,Conservative,UKIP,Plaid,65.8,32.2,1.9,37.1,4.2,2.7,7.1,0.0,15.0,+1.8,+1.9,+0.7,-18.4,+0.0,+1.1,0.0,+12.9
95,Bridgwater & Somerset West,South West,E14000595,80491,54447,25020,2636,9589,6765,0,,,10437,Conservative,UKIP,Labour,Lib Dems,67.6,46.0,4.8,17.6,12.4,0.0,0.0,0.0,19.2,+0.7,+3.3,+0.5,-15.9,-2.9,0.0,0.0,+14.4
96,Brigg & Goole,Yorkshire and The Humber,E14000596,68488,43270,22946,915,11770,764,181,,,6694,Conservative,Labour,UKIP,Green,63.2,53.0,2.1,27.2,1.8,0.4,0.0,0.0,15.5,+8.2,+2.1,-5.9,-12.9,-3.0,0.0,0.0,+11.5
