Press Association Reference,Constituency Name,Region,CODE,Electorate 10,Votes 10,Conservative 10,Green 10,Labour 10,Lib Dems 10,Other 10,Plaid 10,SNP 10,UKIP 10,Winner 10,Second Place 10,Third Place 10,Fourth Place 10,Turnout 10,Conservative Vote Share 10,Green Vote Share 10,Labour Vote Share 10,Lib Dems Vote Share 10,Other Vote Share 10,Plaid Vote Share 10,SNP Vote Share 10,UKIP Vote Share 10
23,"Ayr, Carrick & Cumnock",Scotland,S14000006,73320,45893,11721,0,21632,4264,0,0,8276,0,Labour,Conservative,SNP,Lib Dems,62.6,25.5,0.0,47.1,9.3,0.0,0.0,18.0,0.0
24,Ayrshire Central,Scotland,S14000010,68352,43915,8943,0,20950,5236,422,0,8364,0,Labour,Conservative,SNP,Lib Dems,64.2,20.4,0.0,47.7,11.9,1.0,0.0,19.0,0.0
25,Ayrshire North & Arran,Scotland,S14000048,74223,46116,7212,0,21860,4630,449,0,11965,0,Labour,SNP,Conservative,Lib Dems,62.1,15.6,0.0,47.4,10.0,1.0,0.0,25.9,0.0
26,Banbury,South East,E14000539,84379,56241,29703,959,10773,11476,524,0,0,2806,Conservative,Lib Dems,Labour,UKIP,66.7,52.8,1.7,19.2,20.4,0.9,0.0,0.0,5.0
27,Banff & Buchan,Scotland,S14000007,64300,38466,11841,0,5382,4365,1010,0,15868,0,SNP,Conservative,Labour,Lib Dems,59.8,30.8,0.0,14.0,11.3,2.6,0.0,41.3,0.0
28,Barking,London,E14000540,73868,45343,8073,317,24628,3719,7306,0,0,1300,Labour,Conservative,Other,Lib Dems,61.4,17.8,0.7,54.3,8.2,16.1,0.0,0.0,2.9
29,Barnsley Central,Yorkshire and the Humber,E14000541,65543,37001,6388,0,17487,6394,5005,0,0,1727,Labour,Lib Dems,Conservative,Other,56.5,17.3,0.0,47.3,17.3,13.5,0.0,0.0,4.7
30,Barnsley East,Yorkshire and the Humber,E14000542,68435,38386,6329,0,18059,6969,5298,0,0,1731,Labour,Lib Dems,Conservative,Other,56.1,16.5,0.0,47.0,18.2,13.8,0.0,0.0,4.5
31,Barrow & Furness,North West,E14000543,68943,44124,16018,530,21226,4424,1085,0,0,841,Labour,Conservative,Lib Dems,Other,64.0,36.3,1.2,48.1,10.0,2.5,0.0,0.0,1.9
32,Basildon & Billericay,Eastern,E14000544,65515,41569,21922,0,9584,6538,1934,0,0,1591,Conservative,Labour,Lib Dems,Other,63.4,52.7,0.0,23.1,15.7,4.7,0.0,0.0,3.8
33,Basildon South & Thurrock East,Eastern,E14000933,71874,44735,19624,0,13852,5977,2643,0,0,2639,Conservative,Labour,Lib Dems,Other,62.2,43.9,0.0,31.0,13.4,5.9,0.0,0.0,5.9
34,Basingstoke,South East,E14000545,75473,50654,25590,0,10327,12414,247,0,0,2076,Conservative,Lib Dems,Labour,UKIP,67.1,50.5,0.0,20.4,24.5,0.5,0.0,0.0,4.1
35,Bassetlaw,East Midlands,E14000546,76513,49577,16803,0,25018,5570,407,0,0,1779,Labour,Conservative,Lib Dems,UKIP,64.8,33.9,0.0,50.5,11.2,0.8,0.0,0.0,3.6
36,Bath,South West,E14000547,66686,47086,14768,1120,3251,26651,406,0,0,890,Lib Dems,Conservative,Labour,Green,70.6,31.4,2.4,6.9,56.6,0.9,0.0,0.0,1.9
37,Batley & Spen,Yorkshire and the Humber,E14000548,76738,51109,17159,605,21565,8095,3685,0,0,0,Labour,Conservative,Lib Dems,Other,66.6,33.6,1.2,42.2,15.8,7.2,0.0,0.0,0.0
38,Battersea,London,E14000549,74311,48792,23103,559,17126,7176,323,0,0,505,Conservative,Labour,Lib Dems,Green,65.7,47.3,1.1,35.1,14.7,0.7,0.0,0.0,1.0
39,Beaconsfield,South East,E14000550,74982,52490,32053,768,6135,10271,666,0,0,2597,Conservative,Lib Dems,Labour,UKIP,70.0,61.1,1.5,11.7,19.6,1.3,0.0,0.0,4.9
40,Beckenham,London,E14000551,66219,47686,27597,608,6893,9813,1224,0,0,1551,Conservative,Lib Dems,Labour,UKIP,72.0,57.9,1.3,14.5,20.6,2.6,0.0,0.0,3.3
41,Bedford,Eastern,E14000552,68530,45102,17546,393,16193,8957,877,0,0,1136,Conservative,Labour,Lib Dems,UKIP,65.8,38.9,0.9,35.9,19.9,1.9,0.0,0.0,2.5
42,Bedfordshire Mid,Eastern,E14000813,76310,54897,28815,773,8108,13663,712,0,0,2826,Conservative,Lib Dems,Labour,UKIP,71.9,52.5,1.4,14.8,24.9,1.3,0.0,0.0,5.1
43,Bedfordshire North East,Eastern,E14000841,78060,55552,30989,0,8957,12047,1265,0,0,2294,Conservative,Lib Dems,Labour,UKIP,71.2,55.8,0.0,16.1,21.7,2.3,0.0,0.0,4.1
44,Bedfordshire South West,Eastern,E14000949,76559,50774,26815,0,9948,10166,1703,0,0,2142,Conservative,Lib Dems,Labour,UKIP,66.3,52.8,0.0,19.6,20.0,3.4,0.0,0.0,4.2
45,Belfast East,Northern Ireland,N06000001,59007,34488,0,0,0,0,34488,0,0,0,Other,Conservative,Conservative,Conservative,58.4,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
46,Belfast North,Northern Ireland,N06000002,65504,36993,0,0,0,0,36993,0,0,0,Other,Conservative,Conservative,Conservative,56.5,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
47,Belfast South,Northern Ireland,N06000003,59524,34186,0,1036,0,0,33150,0,0,0,Other,Green,Conservative,Conservative,57.4,0.0,3.0,0.0,0.0,97.0,0.0,0.0,0.0
48,Belfast West,Northern Ireland,N06000004,59522,32133,0,0,0,0,32133,0,0,0,Other,Conservative,Conservative,Conservative,54.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
49,Bermondsey & Old Southwark,London,E14000553,77628,44651,7638,718,13060,21590,1645,0,0,0,Lib Dems,Labour,Conservative,Other,57.5,17.1,1.6,29.2,48.4,3.7,0.0,0.0,0.0
50,Berwick-upon-Tweed,North East,E14000554,56578,38439,14116,0,5061,16806,1213,0,0,1243,Lib Dems,Conservative,Labour,UKIP,67.9,36.7,0.0,13.2,43.7,3.2,0.0,0.0,3.2
51,"Berwickshire, Roxburgh & Selkirk",Scotland,S14000008,73826,49014,16555,0,5003,22230,134,0,4497,595,Lib Dems,Conservative,Labour,SNP,66.4,33.8,0.0,10.2,45.4,0.3,0.0,9.2,1.2
52,Bethnal Green & Bow,London,E14000555,81243,50728,7071,856,21784,10210,10807,0,0,0,Labour,Other,Lib Dems,Conservative,62.4,13.9,1.7,42.9,20.1,21.3,0.0,0.0,0.0
53,Beverley & Holderness,Yorkshire and the Humber,E14000556,79318,53199,25063,686,11224,12076,2305,0,0,1845,Conservative,Lib Dems,Labour,Other,67.1,47.1,1.3,21.1,22.7,4.3,0.0,0.0,3.5
54,Bexhill & Battle,South East,E14000557,81032,54587,28147,0,6524,15267,4649,0,0,0,Conservative,Lib Dems,Labour,Other,67.4,51.6,0.0,12.0,28.0,8.5,0.0,0.0,0.0
55,Bexleyheath & Crayford,London,E14000558,65015,43182,21794,371,11450,5502,2508,0,0,1557,Conservative,Labour,Lib Dems,Other,66.4,50.5,0.9,26.5,12.7,5.8,0.0,0.0,3.6
56,Birkenhead,North West,E14000559,62773,35323,6687,0,22082,6554,0,0,0,0,Labour,Conservative,Lib Dems,Green,56.3,18.9,0.0,62.5,18.6,0.0,0.0,0.0,0.0
57,Birmingham Edgbaston,West Midlands,E14000560,68573,41571,15620,469,16894,6387,1469,0,0,732,Labour,Conservative,Lib Dems,Other,60.6,37.6,1.1,40.6,15.4,3.5,0.0,0.0,1.8
58,Birmingham Erdington,West Midlands,E14000561,66405,35546,11592,0,14869,5742,2501,0,0,842,Labour,Conservative,Lib Dems,Other,53.5,32.6,0.0,41.8,16.2,7.0,0.0,0.0,2.4
59,Birmingham Hall Green,West Midlands,E14000562,76580,48727,7320,0,16039,11988,12430,0,0,950,Labour,Other,Lib Dems,Conservative,63.6,15.0,0.0,32.9,24.6,25.5,0.0,0.0,1.9
60,Birmingham Hodge Hill,West Midlands,E14000563,75040,42472,4936,0,22077,11775,2970,0,0,714,Labour,Lib Dems,Conservative,Other,56.6,11.6,0.0,52.0,27.7,7.0,0.0,0.0,1.7
61,Birmingham Ladywood,West Midlands,E14000564,73646,35833,4277,859,19950,9845,0,0,0,902,Labour,Lib Dems,Conservative,UKIP,48.7,11.9,2.4,55.7,27.5,0.0,0.0,0.0,2.5
62,Birmingham Northfield,West Midlands,E14000565,71338,41814,14059,406,16841,6550,2595,0,0,1363,Labour,Conservative,Lib Dems,Other,58.6,33.6,1.0,40.3,15.7,6.2,0.0,0.0,3.3
63,Birmingham Perry Barr,West Midlands,E14000566,71304,42045,8960,0,21142,9234,1034,0,0,1675,Labour,Lib Dems,Conservative,UKIP,59.0,21.3,0.0,50.3,22.0,2.5,0.0,0.0,4.0
64,Birmingham Selly Oak,West Midlands,E14000567,74805,46563,14468,664,17950,10371,1979,0,0,1131,Labour,Conservative,Lib Dems,Other,62.2,31.1,1.4,38.5,22.3,4.3,0.0,0.0,2.4
65,Birmingham Yardley,West Midlands,E14000568,72321,40850,7836,0,13160,16162,2502,0,0,1190,Lib Dems,Labour,Conservative,Other,56.5,19.2,0.0,32.2,39.6,6.1,0.0,0.0,2.9
66,Bishop Auckland,North East,E14000569,68368,41136,10805,0,16023,9189,4000,0,0,1119,Labour,Conservative,Lib Dems,Other,60.2,26.3,0.0,39.0,22.3,9.7,0.0,0.0,2.7
67,Blackburn,North West,E14000570,72331,45499,11895,0,21751,6918,3993,0,0,942,Labour,Conservative,Lib Dems,Other,62.9,26.1,0.0,47.8,15.2,8.8,0.0,0.0,2.1
68,Blackley & Broughton,North West,E14000571,69489,34204,6260,0,18563,4861,3626,0,0,894,Labour,Conservative,Lib Dems,Other,49.2,18.3,0.0,54.3,14.2,10.6,0.0,0.0,2.6
69,Blackpool North & Cleveleys,North West,E14000572,66017,40591,16964,0,14814,5400,1754,0,0,1659,Conservative,Labour,Lib Dems,Other,61.5,41.8,0.0,36.5,13.3,4.3,0.0,0.0,4.1
70,Blackpool South,North West,E14000573,63027,35192,12597,0,14449,5082,1712,0,0,1352,Labour,Conservative,Lib Dems,Other,55.8,35.8,0.0,41.1,14.4,4.9,0.0,0.0,3.8
71,Blaenau Gwent,Wales,W07000072,52442,32395,2265,0,16974,3285,8050,1333,0,488,Labour,Other,Lib Dems,Conservative,61.8,7.0,0.0,52.4,10.1,24.8,4.1,0.0,1.5
72,Blaydon,North East,E14000574,67808,44913,7159,0,22297,13180,2277,0,0,0,Labour,Lib Dems,Conservative,Other,66.2,15.9,0.0,49.6,29.3,5.1,0.0,0.0,0.0
73,Blyth Valley,North East,E14000575,62900,38566,6412,0,17156,10488,2845,0,0,1665,Labour,Lib Dems,Conservative,Other,61.3,16.6,0.0,44.5,27.2,7.4,0.0,0.0,4.3
74,Bognor Regis & Littlehampton,South East,E14000576,70816,46852,24087,0,6580,11024,2125,0,0,3036,Conservative,Lib Dems,Labour,UKIP,66.2,51.4,0.0,14.0,23.5,4.5,0.0,0.0,6.5
75,Bolsover,East Midlands,E14000577,72766,43988,10812,0,21994,6821,2640,0,0,1721,Labour,Conservative,Lib Dems,Other,60.5,24.6,0.0,50.0,15.5,6.0,0.0,0.0,3.9
76,Bolton North East,North West,E14000578,66846,43277,15786,0,19870,5624,182,0,0,1815,Labour,Conservative,Lib Dems,UKIP,64.7,36.5,0.0,45.9,13.0,0.4,0.0,0.0,4.2
77,Bolton South East,North West,E14000579,69499,39604,10148,614,18782,6289,2207,0,0,1564,Labour,Conservative,Lib Dems,Other,57.0,25.6,1.6,47.4,15.9,5.6,0.0,0.0,3.9
78,Bolton West,North West,E14000580,71284,47576,18235,545,18327,8177,391,0,0,1901,Labour,Conservative,Lib Dems,UKIP,66.7,38.3,1.1,38.5,17.2,0.8,0.0,0.0,4.0
79,Bootle,North West,E14000581,71422,41277,3678,0,27426,6245,1414,0,0,2514,Labour,Lib Dems,Conservative,UKIP,57.8,8.9,0.0,66.4,15.1,3.4,0.0,0.0,6.1
80,Boston & Skegness,East Midlands,E14000582,67186,43125,21325,0,8899,6371,2449,0,0,4081,Conservative,Labour,Lib Dems,UKIP,64.2,49.4,0.0,20.6,14.8,5.7,0.0,0.0,9.5
81,Bosworth,East Midlands,E14000583,77296,54274,23132,0,8674,18100,3270,0,0,1098,Conservative,Lib Dems,Labour,Other,70.2,42.6,0.0,16.0,33.3,6.0,0.0,0.0,2.0
82,Bournemouth East,South West,E14000584,71125,44024,21320,0,5836,13592,249,0,0,3027,Conservative,Lib Dems,Labour,UKIP,61.9,48.4,0.0,13.3,30.9,0.6,0.0,0.0,6.9
83,Bournemouth West,South West,E14000585,71753,41659,18808,0,6171,13225,456,0,0,2999,Conservative,Lib Dems,Labour,UKIP,58.1,45.1,0.0,14.8,31.7,1.1,0.0,0.0,7.2
84,Bracknell,South East,E14000586,76888,52136,27327,821,8755,11623,1313,0,0,2297,Conservative,Lib Dems,Labour,UKIP,67.8,52.4,1.6,16.8,22.3,2.5,0.0,0.0,4.4
85,Bradford East,Yorkshire and the Humber,E14000587,65116,40457,10860,0,13272,13637,2688,0,0,0,Lib Dems,Labour,Conservative,Other,62.1,26.8,0.0,32.8,33.7,6.6,0.0,0.0,0.0
86,Bradford South,Yorkshire and the Humber,E14000588,63580,37995,11060,0,15682,6948,2966,0,0,1339,Labour,Conservative,Lib Dems,Other,59.8,29.1,0.0,41.3,18.3,7.8,0.0,0.0,3.5
87,Bradford West,Yorkshire and the Humber,E14000589,62519,40576,12638,940,18401,4732,3053,0,0,812,Labour,Conservative,Lib Dems,Other,64.9,31.1,2.3,45.3,11.7,7.5,0.0,0.0,2.0
88,Braintree,Eastern,E14000590,71163,49203,25901,718,9780,9247,1080,0,0,2477,Conservative,Labour,Lib Dems,UKIP,69.1,52.6,1.5,19.9,18.8,2.2,0.0,0.0,5.0
89,Brecon & Radnorshire,Wales,W07000068,53589,38845,14182,341,4096,17929,432,989,0,876,Lib Dems,Conservative,Labour,Plaid,72.5,36.5,0.9,10.5,46.2,1.1,2.5,0.0,2.3
90,Brent Central,London,E14000591,74046,45323,5067,668,18681,20026,881,0,0,0,Lib Dems,Labour,Conservative,Other,61.2,11.2,1.5,41.2,44.2,1.9,0.0,0.0,0.0
91,Brent North,London,E14000592,83896,52298,16486,725,24514,8879,1314,0,0,380,Labour,Conservative,Lib Dems,Other,62.3,31.5,1.4,46.9,17.0,2.5,0.0,0.0,0.7
92,Brentford & Isleworth,London,E14000593,83546,53765,20022,787,18064,12718,1311,0,0,863,Conservative,Labour,Lib Dems,Other,64.4,37.2,1.5,33.6,23.7,2.4,0.0,0.0,1.6
93,Brentwood & Ongar,Eastern,E14000594,69309,50592,28793,584,4992,11872,2314,0,0,2037,Conservative,Lib Dems,Labour,Other,73.0,56.9,1.2,9.9,23.5,4.6,0.0,0.0,4.0
94,Bridgend,Wales,W07000073,58700,38347,11668,0,13931,8658,1020,2269,0,801,Labour,Conservative,Lib Dems,Plaid,65.3,30.4,0.0,36.3,22.6,2.7,5.9,0.0,2.1
95,Bridgwater & Somerset West,South West,E14000595,82180,54493,24675,859,9332,15426,1597,0,0,2604,Conservative,Lib Dems,Labour,UKIP,66.3,45.3,1.6,17.1,28.3,2.9,0.0,0.0,4.8
96,Brigg & Goole,Yorkshire and the Humber,E14000596,67345,43874,19680,0,14533,6414,1498,0,0,1749,Conservative,Labour,Lib Dems,UKIP,65.1,44.9,0.0,33.1,14.6,3.4,0.0,0.0,4.0
97,Brighton Kemptown,South East,E14000597,66015,42705,16217,2330,14889,7691,194,0,0,1384,Conservative,Labour,Lib Dems,Green,64.7,38.0,5.5,34.9,18.0,0.5,0.0,0.0,3.2
98,Brighton Pavilion,South East,E14000598,74009,51834,12275,16238,14986,7159,228,0,0,948,Green,Labour,Conservative,Lib Dems,70.0,23.7,31.3,28.9,13.8,0.4,0.0,0.0,1.8
99,Bristol East,South West,E14000599,69448,45017,12749,803,16471,10993,2491,0,0,1510,Labour,Conservative,Lib Dems,Other,64.8,28.3,1.8,36.6,24.4,5.5,0.0,0.0,3.4
100,Bristol North West,South West,E14000600,73469,50336,19115,511,13059,15841,635,0,0,1175,Conservative,Lib Dems,Labour,UKIP,68.5,38.0,1.0,25.9,31.5,1.3,0.0,0.0,2.3
101,Bristol South,South West,E14000601,78579,48377,11086,1216,18600,13866,2345,0,0,1264,Labour,Lib Dems,Conservative,Other,61.6,22.9,2.5,38.4,28.7,4.8,0.0,0.0,2.6
102,Bristol West,South West,E14000602,82728,55347,10169,2090,15227,26593,613,0,0,655,Lib Dems,Labour,Conservative,Green,66.9,18.4,3.8,27.5,48.0,1.1,0.0,0.0,1.2
103,Broadland,Eastern,E14000603,72445,52676,24338,752,7287,17046,871,0,0,2382,Conservative,Lib Dems,Labour,UKIP,72.7,46.2,1.4,13.8,32.4,1.7,0.0,0.0,4.5
104,Bromley & Chislehurst,London,E14000604,65427,44037,23569,607,7295,9669,1446,0,0,1451,Conservative,Lib Dems,Labour,UKIP,67.3,53.5,1.4,16.6,22.0,3.3,0.0,0.0,3.3
105,Bromsgrove,West Midlands,E14000605,73036,51630,22558,0,11250,10124,4748,0,0,2950,Conservative,Labour,Lib Dems,Other,70.7,43.7,0.0,21.8,19.6,9.2,0.0,0.0,5.7
106,Broxbourne,Eastern,E14000606,71391,45658,26844,0,8040,6107,2777,0,0,1890,Conservative,Labour,Lib Dems,Other,64.0,58.8,0.0,17.6,13.4,6.1,0.0,0.0,4.1
107,Broxtowe,East Midlands,E14000607,72042,52727,20585,423,20196,8907,1422,0,0,1194,Conservative,Labour,Lib Dems,Other,73.2,39.0,0.8,38.3,16.9,2.7,0.0,0.0,2.3
108,Buckingham,South East,E14000608,74989,48335,0,0,0,0,39934,0,0,8401,Other,UKIP,Conservative,Conservative,64.5,0.0,0.0,0.0,0.0,82.6,0.0,0.0,17.4
109,Burnley,North West,E14000609,66615,41845,6950,0,13114,14932,5920,0,0,929,Lib Dems,Labour,Conservative,Other,62.8,16.6,0.0,31.3,35.7,14.1,0.0,0.0,2.2
110,Burton,West Midlands,E14000610,74874,49823,22188,0,15884,7891,2409,0,0,1451,Conservative,Labour,Lib Dems,Other,66.5,44.5,0.0,31.9,15.8,4.8,0.0,0.0,2.9
111,Bury North,North West,E14000611,66759,44961,18070,0,15827,7645,2137,0,0,1282,Conservative,Labour,Lib Dems,Other,67.3,40.2,0.0,35.2,17.0,4.8,0.0,0.0,2.9
112,Bury South,North West,E14000612,73544,48267,16216,493,19508,8796,2237,0,0,1017,Labour,Conservative,Lib Dems,Other,65.6,33.6,1.0,40.4,18.2,4.6,0.0,0.0,2.1
113,Bury St Edmunds,Eastern,E14000613,84716,58718,27899,2521,9776,15519,0,0,0,3003,Conservative,Lib Dems,Labour,UKIP,69.3,47.5,4.3,16.6,26.4,0.0,0.0,0.0,5.1
114,Caerphilly,Wales,W07000076,62122,38692,6622,0,17377,5688,1635,6460,0,910,Labour,Conservative,Plaid,Lib Dems,62.3,17.1,0.0,44.9,14.7,4.2,16.7,0.0,2.4
115,"Caithness, Sutherland & Easter Ross",Scotland,S14000009,47263,28768,3744,0,7081,11907,520,0,5516,0,Lib Dems,Labour,SNP,Conservative,60.9,13.0,0.0,24.6,41.4,1.8,0.0,19.2,0.0
116,Calder Valley,Yorkshire and the Humber,E14000614,76903,51780,20397,858,13966,13037,2349,0,0,1173,Conservative,Labour,Lib Dems,Other,67.3,39.4,1.7,27.0,25.2,4.5,0.0,0.0,2.3
117,Camberwell & Peckham,London,E14000615,78627,46659,6080,1361,27619,10432,1167,0,0,0,Labour,Lib Dems,Conservative,Green,59.3,13.0,2.9,59.2,22.4,2.5,0.0,0.0,0.0
118,Camborne & Redruth,South West,E14000616,63975,42493,15969,581,6945,15903,943,0,0,2152,Conservative,Lib Dems,Labour,UKIP,66.4,37.6,1.4,16.3,37.4,2.2,0.0,0.0,5.1
119,Cambridge,Eastern,E14000617,74699,50130,12829,3804,12174,19621,507,0,0,1195,Lib Dems,Conservative,Labour,Green,67.1,25.6,7.6,24.3,39.1,1.0,0.0,0.0,2.4
120,Cambridgeshire North East,Eastern,E14000842,73224,52064,26862,0,9274,10437,2700,0,0,2791,Conservative,Lib Dems,Labour,UKIP,71.1,51.6,0.0,17.8,20.0,5.2,0.0,0.0,5.4
121,Cambridgeshire North West,Eastern,E14000855,88851,58283,29425,0,9877,12748,1407,0,0,4826,Conservative,Lib Dems,Labour,UKIP,65.6,50.5,0.0,16.9,21.9,2.4,0.0,0.0,8.3
122,Cambridgeshire South,Eastern,E14000934,78995,59056,27995,1039,6024,20157,1968,0,0,1873,Conservative,Lib Dems,Labour,Other,74.8,47.4,1.8,10.2,34.1,3.3,0.0,0.0,3.2
123,Cambridgeshire South East,Eastern,E14000937,83068,57602,27629,766,4380,21683,1006,0,0,2138,Conservative,Lib Dems,Labour,UKIP,69.3,48.0,1.3,7.6,37.6,1.7,0.0,0.0,3.7
124,Cannock Chase,West Midlands,E14000618,74508,45559,18271,0,15076,7732,2900,0,0,1580,Conservative,Labour,Lib Dems,Other,61.1,40.1,0.0,33.1,17.0,6.4,0.0,0.0,3.5
125,Canterbury,South East,E14000619,74121,49209,22050,1137,7940,16002,173,0,0,1907,Conservative,Lib Dems,Labour,UKIP,66.4,44.8,2.3,16.1,32.5,0.4,0.0,0.0,3.9
126,Cardiff Central,Wales,W07000050,61165,36151,7799,575,10400,14976,390,1246,0,765,Lib Dems,Labour,Conservative,Plaid,59.1,21.6,1.6,28.8,41.4,1.1,3.4,0.0,2.1
127,Cardiff North,Wales,W07000051,65553,47630,17860,362,17666,8724,300,1588,0,1130,Conservative,Labour,Lib Dems,Plaid,72.7,37.5,0.8,37.1,18.3,0.6,3.3,0.0,2.4
128,Cardiff South & Penarth,Wales,W07000080,73707,44369,12553,554,17262,9875,1129,1851,0,1145,Labour,Conservative,Lib Dems,Plaid,60.2,28.3,1.2,38.9,22.3,2.5,4.2,0.0,2.6
129,Cardiff West,Wales,W07000079,62787,40958,12143,750,16894,7186,0,2868,0,1117,Labour,Conservative,Lib Dems,Plaid,65.2,29.6,1.8,41.2,17.5,0.0,7.0,0.0,2.7
130,Carlisle,North West,E14000620,65263,42200,16589,614,15736,6567,1725,0,0,969,Conservative,Labour,Lib Dems,Other,64.7,39.3,1.5,37.3,15.6,4.1,0.0,0.0,2.3
131,Carmarthen East & Dinefwr,Wales,W07000067,52385,38011,8506,0,10065,4609,0,13546,0,1285,Plaid,Labour,Conservative,Lib Dems,72.6,22.4,0.0,26.5,12.1,0.0,35.6,0.0,3.4
132,Carmarthen West & Pembrokeshire South,Wales,W07000066,58108,40507,16649,0,13226,4890,364,4232,0,1146,Conservative,Labour,Lib Dems,Plaid,69.7,41.1,0.0,32.7,12.1,0.9,10.4,0.0,2.8
